"name","alpha","gyro_weight","static_mae","noise_stddev","peak_to_peak","dynamic_lag","overshoot","drift","cross_axis"
"current","0.2","0.98","0.0741999999999976","0.016732793476787917","0.13","3.6","0.25800000000000267","0.006501337848151284","0.6774333333333334"
"low_noise","0.1","0.985","0.24319999999999986","0.11144232230968762","1.7499999999999998","6.1","0.0","0.07783862865249563","1.0504333333333336"
"fast_response","0.4","0.95","0.1734000000000009","0.025500221764122467","0.49","5.9","0.0","0.011277540485535498","0.1585666666666666"
"balanced","0.15","0.97","0.24389999999999823","0.01822989008714834","0.11999999999999988","3.1","34.336","0.007307886799824335","0.4506333333333334"
