build,symbol,size,section,object_file,source_module,address
Debug,ucHeap,3072,.bss.ucHeap,cmake/stm32cubemx/CMakeFiles/FreeRTOS.dir/__/__/Middlewares/Third_Party/FreeRTOS/Source/portable/MemMang/heap_4.c.obj,Middlewares/Third_Party/FreeRTOS/Source/portable/MemMang/heap_4.c,0x20000DF0
Debug,s_health_stack,1280,.bss.s_health_stack,CMakeFiles/MotionEdge-F103.dir/App/RTOS/rtos_tasks.c.obj,App/RTOS/rtos_tasks.c,0x20001CA4
Debug,s_sensor_stack,1280,.bss.s_sensor_stack,CMakeFiles/MotionEdge-F103.dir/App/RTOS/rtos_tasks.c.obj,App/RTOS/rtos_tasks.c,0x200029E4
Debug,pxReadyTasksLists,1120,.bss.pxReadyTasksLists,cmake/stm32cubemx/CMakeFiles/FreeRTOS.dir/__/__/Middlewares/Third_Party/FreeRTOS/Source/tasks.c.obj,Middlewares/Third_Party/FreeRTOS/Source/tasks.c,0x20000184
Debug,s_telemetry_stack,1088,.bss.s_telemetry_stack,CMakeFiles/MotionEdge-F103.dir/App/RTOS/rtos_tasks.c.obj,App/RTOS/rtos_tasks.c,0x200021A4
Debug,s_communication_stack,1024,.bss.s_communication_stack,CMakeFiles/MotionEdge-F103.dir/App/RTOS/rtos_tasks.c.obj,App/RTOS/rtos_tasks.c,0x200025E4
Debug,Timer_Stack.0,1024,.bss.Timer_Stack.0,cmake/stm32cubemx/CMakeFiles/FreeRTOS.dir/__/__/Middlewares/Third_Party/FreeRTOS/Source/CMSIS_RTOS_V2/cmsis_os2.c.obj,Middlewares/Third_Party/FreeRTOS/Source/CMSIS_RTOS_V2/cmsis_os2.c,0x20000714
Debug,Idle_Stack.2,512,.bss.Idle_Stack.2,cmake/stm32cubemx/CMakeFiles/FreeRTOS.dir/__/__/Middlewares/Third_Party/FreeRTOS/Source/CMSIS_RTOS_V2/cmsis_os2.c.obj,Middlewares/Third_Party/FreeRTOS/Source/CMSIS_RTOS_V2/cmsis_os2.c,0x20000B70
Debug,s_rx_dma_storage,512,.bss.s_rx_dma_storage,CMakeFiles/MotionEdge-F103.dir/BSP/bsp_uart.c.obj,BSP/bsp_uart.c,0x200033C0
Debug,__sf,312,.bss.__sf,C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libg_nano.a(libc_a-findfp.o),C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libg_nano.a(libc_a-findfp.o),0x20003E5C
Debug,s_rx_storage,256,.bss.s_rx_storage,CMakeFiles/MotionEdge-F103.dir/Services/communication_service.c.obj,Services/communication_service.c,0x20003C30
Debug,s_command_queue_storage,224,.bss.s_command_queue_storage,CMakeFiles/MotionEdge-F103.dir/App/RTOS/rtos_objects.c.obj,App/RTOS/rtos_objects.c,0x200030D8
Debug,s_csv_buffer,192,.bss.s_csv_buffer,CMakeFiles/MotionEdge-F103.dir/App/app_main.c.obj,App/app_main.c,0x20001B70
Debug,s_log_buffer,192,.bss.s_log_buffer,CMakeFiles/MotionEdge-F103.dir/Middleware/logger.c.obj,Middleware/logger.c,0x20003690
Debug,s_message_buffer,192,.bss.s_message_buffer,CMakeFiles/MotionEdge-F103.dir/Middleware/logger.c.obj,Middleware/logger.c,0x200035D0
Debug,s_parser,168,.bss.s_parser,CMakeFiles/MotionEdge-F103.dir/Services/communication_service.c.obj,Services/communication_service.c,0x200039CC
Debug,ucStaticTimerQueueStorage.1,160,.bss.ucStaticTimerQueueStorage.1,cmake/stm32cubemx/CMakeFiles/FreeRTOS.dir/__/__/Middlewares/Third_Party/FreeRTOS/Source/timers.c.obj,Middlewares/Third_Party/FreeRTOS/Source/timers.c,0x20000638
Debug,s_command_tx_buffer,139,.bss.s_command_tx_buffer,CMakeFiles/MotionEdge-F103.dir/Services/communication_service.c.obj,Services/communication_service.c,0x20003BA4
Debug,s_telemetry_tx_buffer,139,.bss.s_telemetry_tx_buffer,CMakeFiles/MotionEdge-F103.dir/Services/communication_service.c.obj,Services/communication_service.c,0x20003B18
Debug,s_snapshot,132,.bss.s_snapshot,CMakeFiles/MotionEdge-F103.dir/App/RTOS/rtos_monitor.c.obj,App/RTOS/rtos_monitor.c,0x20003318
Debug,s_latest_frame,108,.bss.s_latest_frame,CMakeFiles/MotionEdge-F103.dir/Services/motion_service.c.obj,Services/motion_service.c,0x2000380C
Debug,s_latest_motion,108,.bss.s_latest_motion,CMakeFiles/MotionEdge-F103.dir/App/RTOS/rtos_objects.c.obj,App/RTOS/rtos_objects.c,0x20003058
Debug,s_control_telemetry_status,104,.bss.s_control_telemetry_status,CMakeFiles/MotionEdge-F103.dir/Services/communication_service.c.obj,Services/communication_service.c,0x20003A8C
Debug,s_status,104,.bss.s_status,CMakeFiles/MotionEdge-F103.dir/Services/control_service.c.obj,Services/control_service.c,0x20003D7C
Debug,Idle_TCB.3,92,.bss.Idle_TCB.3,cmake/stm32cubemx/CMakeFiles/FreeRTOS.dir/__/__/Middlewares/Third_Party/FreeRTOS/Source/CMSIS_RTOS_V2/cmsis_os2.c.obj,Middlewares/Third_Party/FreeRTOS/Source/CMSIS_RTOS_V2/cmsis_os2.c,0x20000D70
Debug,s_communication_task_cb,92,.bss.s_communication_task_cb,CMakeFiles/MotionEdge-F103.dir/App/RTOS/rtos_tasks.c.obj,App/RTOS/rtos_tasks.c,0x20002F9C
Debug,s_health_task_cb,92,.bss.s_health_task_cb,CMakeFiles/MotionEdge-F103.dir/App/RTOS/rtos_tasks.c.obj,App/RTOS/rtos_tasks.c,0x20002EE4
Debug,s_sensor_task_cb,92,.bss.s_sensor_task_cb,CMakeFiles/MotionEdge-F103.dir/App/RTOS/rtos_tasks.c.obj,App/RTOS/rtos_tasks.c,0x20002FF8
Debug,s_telemetry_task_cb,92,.bss.s_telemetry_task_cb,CMakeFiles/MotionEdge-F103.dir/App/RTOS/rtos_tasks.c.obj,App/RTOS/rtos_tasks.c,0x20002F40
Debug,Timer_TCB.1,92,.bss.Timer_TCB.1,cmake/stm32cubemx/CMakeFiles/FreeRTOS.dir/__/__/Middlewares/Third_Party/FreeRTOS/Source/CMSIS_RTOS_V2/cmsis_os2.c.obj,Middlewares/Third_Party/FreeRTOS/Source/CMSIS_RTOS_V2/cmsis_os2.c,0x20000B14
Release,ucHeap,3072,.bss.ucHeap,cmake/stm32cubemx/CMakeFiles/FreeRTOS.dir/__/__/Middlewares/Third_Party/FreeRTOS/Source/portable/MemMang/heap_4.c.obj,Middlewares/Third_Party/FreeRTOS/Source/portable/MemMang/heap_4.c,0x20000DEC
Release,s_health_stack,1280,.bss.s_health_stack,CMakeFiles/MotionEdge-F103.dir/App/RTOS/rtos_tasks.c.obj,App/RTOS/rtos_tasks.c,0x20001CA0
Release,s_sensor_stack,1280,.bss.s_sensor_stack,CMakeFiles/MotionEdge-F103.dir/App/RTOS/rtos_tasks.c.obj,App/RTOS/rtos_tasks.c,0x200029E0
Release,pxReadyTasksLists,1120,.bss.pxReadyTasksLists,cmake/stm32cubemx/CMakeFiles/FreeRTOS.dir/__/__/Middlewares/Third_Party/FreeRTOS/Source/tasks.c.obj,Middlewares/Third_Party/FreeRTOS/Source/tasks.c,0x20000180
Release,s_telemetry_stack,1088,.bss.s_telemetry_stack,CMakeFiles/MotionEdge-F103.dir/App/RTOS/rtos_tasks.c.obj,App/RTOS/rtos_tasks.c,0x200021A0
Release,s_communication_stack,1024,.bss.s_communication_stack,CMakeFiles/MotionEdge-F103.dir/App/RTOS/rtos_tasks.c.obj,App/RTOS/rtos_tasks.c,0x200025E0
Release,Timer_Stack.0,1024,.bss.Timer_Stack.0,cmake/stm32cubemx/CMakeFiles/FreeRTOS.dir/__/__/Middlewares/Third_Party/FreeRTOS/Source/CMSIS_RTOS_V2/cmsis_os2.c.obj,Middlewares/Third_Party/FreeRTOS/Source/CMSIS_RTOS_V2/cmsis_os2.c,0x20000710
Release,Idle_Stack.2,512,.bss.Idle_Stack.2,cmake/stm32cubemx/CMakeFiles/FreeRTOS.dir/__/__/Middlewares/Third_Party/FreeRTOS/Source/CMSIS_RTOS_V2/cmsis_os2.c.obj,Middlewares/Third_Party/FreeRTOS/Source/CMSIS_RTOS_V2/cmsis_os2.c,0x20000B6C
Release,s_rx_dma_storage,512,.bss.s_rx_dma_storage,CMakeFiles/MotionEdge-F103.dir/BSP/bsp_uart.c.obj,BSP/bsp_uart.c,0x200033BC
Release,__sf,312,.bss.__sf,C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libg_nano.a(libc_a-findfp.o),C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libg_nano.a(libc_a-findfp.o),0x20003E54
