build,symbol,size,section,object_file,source_module,address
Debug,TelemetryService_BuildControl,384,.text.TelemetryService_BuildControl,CMakeFiles/MotionEdge-F103.dir/Services/telemetry_service.c.obj,Services/telemetry_service.c,0x0800B9A6
Debug,App_CompleteI2cScan,372,.text.App_CompleteI2cScan,CMakeFiles/MotionEdge-F103.dir/App/app_main.c.obj,App/app_main.c,0x08007604
Debug,__aeabi_frsub,364,.text,C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libgcc.a(_arm_addsubsf3.o),C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libgcc.a(_arm_addsubsf3.o),0x08000110
Debug,CommunicationService_RunTelemetry,364,.text.CommunicationService_RunTelemetry,CMakeFiles/MotionEdge-F103.dir/Services/communication_service.c.obj,Services/communication_service.c,0x0800C75C
Debug,HAL_RCC_ClockConfig,364,.text.HAL_RCC_ClockConfig,cmake/stm32cubemx/CMakeFiles/STM32_Drivers.dir/__/__/Drivers/STM32F1xx_HAL_Driver/Src/stm32f1xx_hal_rcc.c.obj,Drivers/STM32F1xx_HAL_Driver/Src/stm32f1xx_hal_rcc.c,0x080014C8
Debug,__aeabi_fmul,360,.text,C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libgcc.a(_arm_muldivsf3.o),C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libgcc.a(_arm_muldivsf3.o),0x0800032C
Debug,__mulsf3,360,.text,C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libgcc.a(_arm_muldivsf3.o),C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libgcc.a(_arm_muldivsf3.o),0x0800032C
Release,CommandService_Process,1600,.text.CommandService_Process,CMakeFiles/MotionEdge-F103.dir/Services/command_service.c.obj,Services/command_service.c,0x0800A308
Release,MotionService_RunOnce,1072,.text.MotionService_RunOnce,CMakeFiles/MotionEdge-F103.dir/Services/motion_service.c.obj,Services/motion_service.c,0x08008D9C
Release,HAL_RCC_OscConfig,824,.text.HAL_RCC_OscConfig,cmake/stm32cubemx/CMakeFiles/STM32_Drivers.dir/__/__/Drivers/STM32F1xx_HAL_Driver/Src/stm32f1xx_hal_rcc.c.obj,Drivers/STM32F1xx_HAL_Driver/Src/stm32f1xx_hal_rcc.c,0x08000F3C
Release,App_SensorRunOnce,776,.text.App_SensorRunOnce,CMakeFiles/MotionEdge-F103.dir/App/app_main.c.obj,App/app_main.c,0x080069B8
Release,__udivmoddi4,754,.text.__udivmoddi4,C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libgcc.a(_udivmoddi4.o),C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libgcc.a(_udivmoddi4.o),0x0800BF24
Release,HAL_UART_IRQHandler,660,.text.HAL_UART_IRQHandler,cmake/stm32cubemx/CMakeFiles/STM32_Drivers.dir/__/__/Drivers/STM32F1xx_HAL_Driver/Src/stm32f1xx_hal_uart.c.obj,Drivers/STM32F1xx_HAL_Driver/Src/stm32f1xx_hal_uart.c,0x08002B84
Release,PidController_Update,660,.text.PidController_Update,CMakeFiles/MotionEdge-F103.dir/Algorithms/pid_controller.c.obj,Algorithms/pid_controller.c,0x0800627C
Release,ControlService_Update,656,.text.ControlService_Update,CMakeFiles/MotionEdge-F103.dir/Services/control_service.c.obj,Services/control_service.c,0x0800B700
Release,HAL_I2C_Mem_Read,644,.text.HAL_I2C_Mem_Read,cmake/stm32cubemx/CMakeFiles/STM32_Drivers.dir/__/__/Drivers/STM32F1xx_HAL_Driver/Src/stm32f1xx_hal_i2c.c.obj,Drivers/STM32F1xx_HAL_Driver/Src/stm32f1xx_hal_i2c.c,0x08002398
Release,HealthTask,628,.text.HealthTask,CMakeFiles/MotionEdge-F103.dir/App/RTOS/rtos_tasks.c.obj,App/RTOS/rtos_tasks.c,0x08006FEC
Release,PidController_IsConfigValid,584,.text.PidController_IsConfigValid,CMakeFiles/MotionEdge-F103.dir/Algorithms/pid_controller.c.obj,Algorithms/pid_controller.c,0x08005F6C
Release,_printf_i,576,.text._printf_i,C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libg_nano.a(libc_a-nano-vfprintf_i.o),C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libg_nano.a(libc_a-nano-vfprintf_i.o),0x0800C908
Release,atanf,556,.text.atanf,C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libm.a(libm_a-sf_atan.o),C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libm.a(libm_a-sf_atan.o),0x0800BCF0
Release,ConfigStore_Save,548,.text.ConfigStore_Save,CMakeFiles/MotionEdge-F103.dir/Services/config_store.c.obj,Services/config_store.c,0x08009924
Release,_svfiprintf_r,504,.text._svfprintf_r,C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libg_nano.a(libc_a-nano-svfprintf.o),C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libg_nano.a(libc_a-nano-svfprintf.o),0x0800C62C
Release,_svfprintf_r,504,.text._svfprintf_r,C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libg_nano.a(libc_a-nano-svfprintf.o),C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libg_nano.a(libc_a-nano-svfprintf.o),0x0800C62C
Release,prvTimerTask,496,.text.prvTimerTask,cmake/stm32cubemx/CMakeFiles/FreeRTOS.dir/__/__/Middlewares/Third_Party/FreeRTOS/Source/timers.c.obj,Middlewares/Third_Party/FreeRTOS/Source/timers.c,0x080048E8
Release,CalibrationService_ProcessSample,464,.text.CalibrationService_ProcessSample,CMakeFiles/MotionEdge-F103.dir/Services/calibration_service.c.obj,Services/calibration_service.c,0x08008A68
Release,App_Init,460,.text.App_Init,CMakeFiles/MotionEdge-F103.dir/App/app_main.c.obj,App/app_main.c,0x080067D0
Release,HAL_GPIO_Init,424,.text.HAL_GPIO_Init,cmake/stm32cubemx/CMakeFiles/STM32_Drivers.dir/__/__/Drivers/STM32F1xx_HAL_Driver/Src/stm32f1xx_hal_gpio.c.obj,Drivers/STM32F1xx_HAL_Driver/Src/stm32f1xx_hal_gpio.c,0x08001474
Release,xQueueSemaphoreTake,384,.text.xQueueSemaphoreTake,cmake/stm32cubemx/CMakeFiles/FreeRTOS.dir/__/__/Middlewares/Third_Party/FreeRTOS/Source/queue.c.obj,Middlewares/Third_Party/FreeRTOS/Source/queue.c,0x0800373A
Release,__aeabi_frsub,364,.text,C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libgcc.a(_arm_addsubsf3.o),C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libgcc.a(_arm_addsubsf3.o),0x08000110
Release,__aeabi_fmul,360,.text,C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libgcc.a(_arm_muldivsf3.o),C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libgcc.a(_arm_muldivsf3.o),0x0800032C
Release,__mulsf3,360,.text,C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libgcc.a(_arm_muldivsf3.o),C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libgcc.a(_arm_muldivsf3.o),0x0800032C
Release,__aeabi_fsub,356,.text,C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libgcc.a(_arm_addsubsf3.o),C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libgcc.a(_arm_addsubsf3.o),0x08000118
Release,__subsf3,356,.text,C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libgcc.a(_arm_addsubsf3.o),C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libgcc.a(_arm_addsubsf3.o),0x08000118
Release,xQueueGenericSend,356,.text.xQueueGenericSend,cmake/stm32cubemx/CMakeFiles/FreeRTOS.dir/__/__/Middlewares/Third_Party/FreeRTOS/Source/queue.c.obj,Middlewares/Third_Party/FreeRTOS/Source/queue.c,0x0800333E
Release,__addsf3,352,.text,C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libgcc.a(_arm_addsubsf3.o),C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libgcc.a(_arm_addsubsf3.o),0x0800011C
Release,__aeabi_fadd,352,.text,C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libgcc.a(_arm_addsubsf3.o),C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libgcc.a(_arm_addsubsf3.o),0x0800011C
Release,HAL_I2C_IsDeviceReady,344,.text.HAL_I2C_IsDeviceReady,cmake/stm32cubemx/CMakeFiles/STM32_Drivers.dir/__/__/Drivers/STM32F1xx_HAL_Driver/Src/stm32f1xx_hal_i2c.c.obj,Drivers/STM32F1xx_HAL_Driver/Src/stm32f1xx_hal_i2c.c,0x0800261C
