build,object_file,source_module,flash_bytes,ram_bytes
Debug,cmake/stm32cubemx/CMakeFiles/FreeRTOS.dir/__/__/Middlewares/Third_Party/FreeRTOS/Source/portable/MemMang/heap_4.c.obj,Middlewares/Third_Party/FreeRTOS/Source/portable/MemMang/heap_4.c,624,3104
Debug,CMakeFiles/MotionEdge-F103.dir/Devices/mpu6500.c.obj,Devices/mpu6500.c,622,0
Debug,CMakeFiles/MotionEdge-F103.dir/Middleware/logger.c.obj,Middleware/logger.c,617,397
Debug,C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libm.a(libm_a-sf_atan.o),C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libm.a(libm_a-sf_atan.o),588,0
Debug,C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libgcc.a(_arm_addsubsf3.o),C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libgcc.a(_arm_addsubsf3.o),540,0
Debug,CMakeFiles/MotionEdge-F103.dir/App/RTOS/rtos_monitor.c.obj,App/RTOS/rtos_monitor.c,488,132
Debug,cmake/stm32cubemx/CMakeFiles/STM32_Drivers.dir/__/__/Drivers/STM32F1xx_HAL_Driver/Src/stm32f1xx_hal_flash.c.obj,Drivers/STM32F1xx_HAL_Driver/Src/stm32f1xx_hal_flash.c,476,32
Debug,CMakeFiles/MotionEdge-F103.dir/Middleware/csv_telemetry.c.obj,Middleware/csv_telemetry.c,427,0
Debug,CMakeFiles/MotionEdge-F103.dir/Algorithms/low_pass_filter.c.obj,Algorithms/low_pass_filter.c,416,0
Debug,cmake/stm32cubemx/CMakeFiles/FreeRTOS.dir/__/__/Middlewares/Third_Party/FreeRTOS/Source/event_groups.c.obj,Middlewares/Third_Party/FreeRTOS/Source/event_groups.c,398,0
Debug,CMakeFiles/MotionEdge-F103.dir/Services/config_service.c.obj,Services/config_service.c,388,19
Debug,CMakeFiles/MotionEdge-F103.dir/Middleware/protocol_frame.c.obj,Middleware/protocol_frame.c,362,0
Debug,CMakeFiles/MotionEdge-F103.dir/startup_stm32f103xb.s.obj,startup_stm32f103xb.s,342,0
Debug,CMakeFiles/MotionEdge-F103.dir/BSP/bsp_pwm.c.obj,BSP/bsp_pwm.c,336,4
Debug,CMakeFiles/MotionEdge-F103.dir/Services/sensor_service.c.obj,Services/sensor_service.c,334,56
Debug,CMakeFiles/MotionEdge-F103.dir/Middleware/protocol_parser.c.obj,Middleware/protocol_parser.c,328,0
Debug,C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libg_nano.a(libc_a-mallocr.o),C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libg_nano.a(libc_a-mallocr.o),324,8
Debug,C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libm.a(libm_a-ef_atan2.o),C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libm.a(libm_a-ef_atan2.o),296,0
Debug,CMakeFiles/MotionEdge-F103.dir/BSP/bsp_flash.c.obj,BSP/bsp_flash.c,288,0
Debug,CMakeFiles/MotionEdge-F103.dir/Src/tim.c.obj,Src/tim.c,260,72
Debug,C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libgcc.a(_arm_cmpsf2.o),C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libgcc.a(_arm_cmpsf2.o),236,0
Debug,cmake/stm32cubemx/CMakeFiles/STM32_Drivers.dir/__/__/Drivers/STM32F1xx_HAL_Driver/Src/stm32f1xx_hal_flash_ex.c.obj,Drivers/STM32F1xx_HAL_Driver/Src/stm32f1xx_hal_flash_ex.c,236,0
Debug,C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libm.a(libm_a-ef_sqrt.o),C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libm.a(libm_a-ef_sqrt.o),236,0
Debug,CMakeFiles/MotionEdge-F103.dir/Src/usart.c.obj,Src/usart.c,232,140
Debug,CMakeFiles/MotionEdge-F103.dir/Services/health_service.c.obj,Services/health_service.c,220,21
Debug,CMakeFiles/MotionEdge-F103.dir/Src/i2c.c.obj,Src/i2c.c,216,84
Debug,cmake/stm32cubemx/CMakeFiles/STM32_Drivers.dir/__/__/Drivers/STM32F1xx_HAL_Driver/Src/stm32f1xx_hal_cortex.c.obj,Drivers/STM32F1xx_HAL_Driver/Src/stm32f1xx_hal_cortex.c,198,0
Debug,CMakeFiles/MotionEdge-F103.dir/Src/main.c.obj,Src/main.c,186,0
Debug,CMakeFiles/MotionEdge-F103.dir/Src/freertos.c.obj,Src/freertos.c,170,4
Debug,CMakeFiles/MotionEdge-F103.dir/Middleware/byte_ring_buffer.c.obj,Middleware/byte_ring_buffer.c,170,0
Debug,CMakeFiles/MotionEdge-F103.dir/App/app_status.c.obj,App/app_status.c,168,1
Debug,CMakeFiles/MotionEdge-F103.dir/App/RTOS/app_rtos.c.obj,App/RTOS/app_rtos.c,164,1
Debug,CMakeFiles/MotionEdge-F103.dir/Src/stm32f1xx_hal_timebase_tim.c.obj,Src/stm32f1xx_hal_timebase_tim.c,160,72
Debug,C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libgcc.a(_aeabi_ldivmod.o),C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libgcc.a(_aeabi_ldivmod.o),160,0
Debug,C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/crtbegin.o,C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/crtbegin.o,148,25
Debug,C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libg_nano.a(libc_a-freer.o),C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libg_nano.a(libc_a-freer.o),144,0
Debug,CMakeFiles/MotionEdge-F103.dir/Src/gpio.c.obj,Src/gpio.c,140,0
Debug,cmake/stm32cubemx/CMakeFiles/FreeRTOS.dir/__/__/Middlewares/Third_Party/FreeRTOS/Source/list.c.obj,Middlewares/Third_Party/FreeRTOS/Source/list.c,138,0
Debug,C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libg_nano.a(libc_a-vsnprintf.o),C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libg_nano.a(libc_a-vsnprintf.o),120,0
Debug,cmake/stm32cubemx/CMakeFiles/STM32_Drivers.dir/__/__/Drivers/STM32F1xx_HAL_Driver/Src/stm32f1xx_hal_tim_ex.c.obj,Drivers/STM32F1xx_HAL_Driver/Src/stm32f1xx_hal_tim_ex.c,112,0
Debug,CMakeFiles/MotionEdge-F103.dir/Services/i2c_scanner.c.obj,Services/i2c_scanner.c,112,0
Debug,C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libg_nano.a(libc_a-snprintf.o),C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libg_nano.a(libc_a-snprintf.o),108,0
Debug,C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libm.a(libm_a-sf_lround.o),C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libm.a(libm_a-sf_lround.o),100,0
Debug,C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libg_nano.a(libc_a-reallocr.o),C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libg_nano.a(libc_a-reallocr.o),92,0
Debug,CMakeFiles/MotionEdge-F103.dir/Src/stm32f1xx_hal_msp.c.obj,Src/stm32f1xx_hal_msp.c,84,0
Debug,CMakeFiles/MotionEdge-F103.dir/Middleware/crc16.c.obj,Middleware/crc16.c,82,0
Debug,C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libg_nano.a(libc_a-impure.o),C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libg_nano.a(libc_a-impure.o),80,80
Debug,cmake/stm32cubemx/CMakeFiles/STM32_Drivers.dir/__/__/Drivers/STM32F1xx_HAL_Driver/Src/stm32f1xx_hal.c.obj,Drivers/STM32F1xx_HAL_Driver/Src/stm32f1xx_hal.c,77,9
Debug,C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libgcc.a(_arm_fixsfsi.o),C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libgcc.a(_arm_fixsfsi.o),76,0
Debug,CMakeFiles/MotionEdge-F103.dir/Common/software_timer.c.obj,Common/software_timer.c,74,0
Debug,CMakeFiles/MotionEdge-F103.dir/Src/sysmem.c.obj,Src/sysmem.c,72,4
Debug,C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libg_nano.a(libc_a-init.o),C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libg_nano.a(libc_a-init.o),72,0
