axis,target_deg,repeat,mean_deg,bias_deg,stddev_deg,count
roll,-30.0,1,-29.771258278145694,0.22874172185430552,0.44556077720218534,151
roll,-30.0,2,-29.932466666666667,0.06753333333333345,0.12100771879904416,150
roll,-30.0,3,-30.696666666666665,-0.6966666666666654,2.060605783954808,150
roll,-20.0,1,-19.98900662251656,0.01099337748344098,0.07483096477517334,151
roll,-20.0,2,-19.429403973509935,0.5705960264900654,1.0650729125514238,151
roll,-20.0,3,-19.9386,0.06139999999999901,0.06674633941650553,150
roll,-10.0,1,-10.1258,-0.1257999999999999,0.13346829299462598,150
roll,-10.0,2,-10.153333333333334,-0.1533333333333342,0.30044188187532633,150
roll,0.0,1,-0.19490066225165562,-0.19490066225165562,0.5754498154194032,151
roll,0.0,2,0.47086092715231787,0.47086092715231787,0.23713551792832438,151
roll,0.0,3,0.40947019867549667,0.40947019867549667,0.016684846596845434,151
roll,10.0,2,10.065629139072849,0.06562913907284873,0.15477112632934423,151
roll,10.0,3,9.993133333333333,-0.006866666666667243,0.14201869933909642,150
roll,20.0,1,19.53980132450331,-0.4601986754966916,0.7527925523884833,151
roll,20.0,2,20.1234,0.12340000000000018,0.2776358244296139,150
roll,20.0,3,19.996466666666667,-0.0035333333333333883,0.1491728274133017,150
roll,30.0,1,29.944466666666667,-0.05553333333333299,0.13559482017123906,150
roll,30.0,2,30.17933774834437,0.17933774834436988,0.7378208173390721,151
roll,30.0,3,30.2556,0.25560000000000116,0.5128594401677007,150
pitch,-30.0,1,-31.14,-1.1400000000000006,0.08760707733967665,25
pitch,-30.0,2,-30.252,-0.2519999999999989,0.1415097169808491,25
pitch,-20.0,1,-19.034000000000002,0.9659999999999975,0.30732718721258623,25
pitch,-20.0,2,-20.8312,-0.831199999999999,0.21188282925554197,25
pitch,-20.0,3,-20.0576,-0.05760000000000076,0.0967505383275294,25
pitch,-10.0,1,-9.733600000000001,0.2663999999999991,0.2073620023051476,25
pitch,-10.0,2,-10.992799999999999,-0.992799999999999,0.26444154993747365,25
pitch,-10.0,3,-10.0556,-0.055600000000000094,0.06171709649683784,25
pitch,0.0,1,0.32799999999999996,0.32799999999999996,0.1321299865031906,25
pitch,0.0,2,0.1924,0.1924,0.010519822558706335,25
pitch,0.0,3,0.11199999999999999,0.11199999999999999,0.12890565025113007,25
pitch,10.0,1,10.323599999999999,0.323599999999999,0.2179617703482273,25
pitch,10.0,2,10.1044,0.10440000000000005,0.037425481515495136,25
pitch,10.0,3,10.506400000000001,0.5064000000000011,0.1216168847926417,25
pitch,20.0,1,20.1552,0.15520000000000067,0.019174636024359905,25
pitch,20.0,2,20.083199999999998,0.08319999999999794,0.04327431878916931,25
pitch,20.0,3,20.180799999999998,0.18079999999999785,0.20233882474700654,25
pitch,30.0,1,30.223200000000002,0.22320000000000206,0.052338640919815146,25
pitch,30.0,2,29.6092,-0.3907999999999987,0.15269577597301082,25
pitch,30.0,3,30.0136,0.013600000000000279,0.1605168734640278,25
