symbol,size,section,object_file,source_module,address
HAL_I2C_IsDeviceReady,396,.text.HAL_I2C_IsDeviceReady,cmake/stm32cubemx/CMakeFiles/STM32_Drivers.dir/__/__/Drivers/STM32F1xx_HAL_Driver/Src/stm32f1xx_hal_i2c.c.obj,Drivers/STM32F1xx_HAL_Driver/Src/stm32f1xx_hal_i2c.c,0x08002C68
xQueueGenericSend,392,.text.xQueueGenericSend,cmake/stm32cubemx/CMakeFiles/FreeRTOS.dir/__/__/Middlewares/Third_Party/FreeRTOS/Source/queue.c.obj,Middlewares/Third_Party/FreeRTOS/Source/queue.c,0x08003B74
RtosTasks_Create,388,.text.RtosTasks_Create,CMakeFiles/MotionEdge-F103.dir/App/RTOS/rtos_tasks.c.obj,App/RTOS/rtos_tasks.c,0x080083CC
TelemetryService_BuildControl,384,.text.TelemetryService_BuildControl,CMakeFiles/MotionEdge-F103.dir/Services/telemetry_service.c.obj,Services/telemetry_service.c,0x0800B9A6
App_CompleteI2cScan,372,.text.App_CompleteI2cScan,CMakeFiles/MotionEdge-F103.dir/App/app_main.c.obj,App/app_main.c,0x08007604
__aeabi_frsub,364,.text,C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libgcc.a(_arm_addsubsf3.o),C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libgcc.a(_arm_addsubsf3.o),0x08000110
CommunicationService_RunTelemetry,364,.text.CommunicationService_RunTelemetry,CMakeFiles/MotionEdge-F103.dir/Services/communication_service.c.obj,Services/communication_service.c,0x0800C75C
HAL_RCC_ClockConfig,364,.text.HAL_RCC_ClockConfig,cmake/stm32cubemx/CMakeFiles/STM32_Drivers.dir/__/__/Drivers/STM32F1xx_HAL_Driver/Src/stm32f1xx_hal_rcc.c.obj,Drivers/STM32F1xx_HAL_Driver/Src/stm32f1xx_hal_rcc.c,0x080014C8
__aeabi_fmul,360,.text,C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libgcc.a(_arm_muldivsf3.o),C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libgcc.a(_arm_muldivsf3.o),0x0800032C
__mulsf3,360,.text,C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libgcc.a(_arm_muldivsf3.o),C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libgcc.a(_arm_muldivsf3.o),0x0800032C
