symbol,size,section,object_file,source_module,address
s_telemetry_tx_buffer,139,.bss.s_telemetry_tx_buffer,CMakeFiles/MotionEdge-F103.dir/Services/communication_service.c.obj,Services/communication_service.c,0x20003B18
s_snapshot,132,.bss.s_snapshot,CMakeFiles/MotionEdge-F103.dir/App/RTOS/rtos_monitor.c.obj,App/RTOS/rtos_monitor.c,0x20003318
s_latest_frame,108,.bss.s_latest_frame,CMakeFiles/MotionEdge-F103.dir/Services/motion_service.c.obj,Services/motion_service.c,0x2000380C
s_latest_motion,108,.bss.s_latest_motion,CMakeFiles/MotionEdge-F103.dir/App/RTOS/rtos_objects.c.obj,App/RTOS/rtos_objects.c,0x20003058
s_control_telemetry_status,104,.bss.s_control_telemetry_status,CMakeFiles/MotionEdge-F103.dir/Services/communication_service.c.obj,Services/communication_service.c,0x20003A8C
s_status,104,.bss.s_status,CMakeFiles/MotionEdge-F103.dir/Services/control_service.c.obj,Services/control_service.c,0x20003D7C
Idle_TCB.3,92,.bss.Idle_TCB.3,cmake/stm32cubemx/CMakeFiles/FreeRTOS.dir/__/__/Middlewares/Third_Party/FreeRTOS/Source/CMSIS_RTOS_V2/cmsis_os2.c.obj,Middlewares/Third_Party/FreeRTOS/Source/CMSIS_RTOS_V2/cmsis_os2.c,0x20000D70
s_communication_task_cb,92,.bss.s_communication_task_cb,CMakeFiles/MotionEdge-F103.dir/App/RTOS/rtos_tasks.c.obj,App/RTOS/rtos_tasks.c,0x20002F9C
s_health_task_cb,92,.bss.s_health_task_cb,CMakeFiles/MotionEdge-F103.dir/App/RTOS/rtos_tasks.c.obj,App/RTOS/rtos_tasks.c,0x20002EE4
s_sensor_task_cb,92,.bss.s_sensor_task_cb,CMakeFiles/MotionEdge-F103.dir/App/RTOS/rtos_tasks.c.obj,App/RTOS/rtos_tasks.c,0x20002FF8
s_telemetry_task_cb,92,.bss.s_telemetry_task_cb,CMakeFiles/MotionEdge-F103.dir/App/RTOS/rtos_tasks.c.obj,App/RTOS/rtos_tasks.c,0x20002F40
Timer_TCB.1,92,.bss.Timer_TCB.1,cmake/stm32cubemx/CMakeFiles/FreeRTOS.dir/__/__/Middlewares/Third_Party/FreeRTOS/Source/CMSIS_RTOS_V2/cmsis_os2.c.obj,Middlewares/Third_Party/FreeRTOS/Source/CMSIS_RTOS_V2/cmsis_os2.c,0x20000B14
