symbol,size,section,object_file,source_module,address
s_command_queue_storage,224,.bss.s_command_queue_storage,CMakeFiles/MotionEdge-F103.dir/App/RTOS/rtos_objects.c.obj,App/RTOS/rtos_objects.c,0x200030D4
s_csv_buffer,192,.bss.s_csv_buffer,CMakeFiles/MotionEdge-F103.dir/App/app_main.c.obj,App/app_main.c,0x20001B6C
s_log_buffer,192,.bss.s_log_buffer,CMakeFiles/MotionEdge-F103.dir/Middleware/logger.c.obj,Middleware/logger.c,0x2000368C
s_message_buffer,192,.bss.s_message_buffer,CMakeFiles/MotionEdge-F103.dir/Middleware/logger.c.obj,Middleware/logger.c,0x200035CC
s_parser,168,.bss.s_parser,CMakeFiles/MotionEdge-F103.dir/Services/communication_service.c.obj,Services/communication_service.c,0x200039C4
ucStaticTimerQueueStorage.1,160,.bss.ucStaticTimerQueueStorage.1,cmake/stm32cubemx/CMakeFiles/FreeRTOS.dir/__/__/Middlewares/Third_Party/FreeRTOS/Source/timers.c.obj,Middlewares/Third_Party/FreeRTOS/Source/timers.c,0x20000634
s_command_tx_buffer,139,.bss.s_command_tx_buffer,CMakeFiles/MotionEdge-F103.dir/Services/communication_service.c.obj,Services/communication_service.c,0x20003B9C
s_telemetry_tx_buffer,139,.bss.s_telemetry_tx_buffer,CMakeFiles/MotionEdge-F103.dir/Services/communication_service.c.obj,Services/communication_service.c,0x20003B10
s_snapshot,132,.bss.s_snapshot,CMakeFiles/MotionEdge-F103.dir/App/RTOS/rtos_monitor.c.obj,App/RTOS/rtos_monitor.c,0x20003314
s_latest_frame,108,.bss.s_latest_frame,CMakeFiles/MotionEdge-F103.dir/Services/motion_service.c.obj,Services/motion_service.c,0x20003804
s_latest_motion,108,.bss.s_latest_motion,CMakeFiles/MotionEdge-F103.dir/App/RTOS/rtos_objects.c.obj,App/RTOS/rtos_objects.c,0x20003054
s_control_telemetry_status,104,.bss.s_control_telemetry_status,CMakeFiles/MotionEdge-F103.dir/Services/communication_service.c.obj,Services/communication_service.c,0x20003A84
s_status,104,.bss.s_status,CMakeFiles/MotionEdge-F103.dir/Services/control_service.c.obj,Services/control_service.c,0x20003D74
Idle_TCB.3,92,.bss.Idle_TCB.3,cmake/stm32cubemx/CMakeFiles/FreeRTOS.dir/__/__/Middlewares/Third_Party/FreeRTOS/Source/CMSIS_RTOS_V2/cmsis_os2.c.obj,Middlewares/Third_Party/FreeRTOS/Source/CMSIS_RTOS_V2/cmsis_os2.c,0x20000D6C
s_communication_task_cb,92,.bss.s_communication_task_cb,CMakeFiles/MotionEdge-F103.dir/App/RTOS/rtos_tasks.c.obj,App/RTOS/rtos_tasks.c,0x20002F98
s_health_task_cb,92,.bss.s_health_task_cb,CMakeFiles/MotionEdge-F103.dir/App/RTOS/rtos_tasks.c.obj,App/RTOS/rtos_tasks.c,0x20002EE0
s_sensor_task_cb,92,.bss.s_sensor_task_cb,CMakeFiles/MotionEdge-F103.dir/App/RTOS/rtos_tasks.c.obj,App/RTOS/rtos_tasks.c,0x20002FF4
s_telemetry_task_cb,92,.bss.s_telemetry_task_cb,CMakeFiles/MotionEdge-F103.dir/App/RTOS/rtos_tasks.c.obj,App/RTOS/rtos_tasks.c,0x20002F3C
Timer_TCB.1,92,.bss.Timer_TCB.1,cmake/stm32cubemx/CMakeFiles/FreeRTOS.dir/__/__/Middlewares/Third_Party/FreeRTOS/Source/CMSIS_RTOS_V2/cmsis_os2.c.obj,Middlewares/Third_Party/FreeRTOS/Source/CMSIS_RTOS_V2/cmsis_os2.c,0x20000B10
